date,open,high,low,close,vwap,volume
2024-01-01,100.789726,101.019656,99.891045,100.515660,101.021680,395372.0
2024-01-02,99.020524,100.061562,98.335711,99.417680,99.311191,451576.0
2024-01-03,100.250389,100.964959,99.356198,100.468221,100.570951,770369.0
2024-01-04,101.517856,102.610730,100.835370,101.746899,101.489641,686420.0
2024-01-05,98.838153,100.402258,98.308095,99.555656,99.400345,416939.0
2024-01-06,98.435225,98.888936,97.643694,98.143041,98.556251,539440.0
2024-01-07,98.164808,99.408769,97.624102,98.446450,98.363848,201767.0
2024-01-08,98.224455,98.657189,97.495414,98.216958,98.279307,653293.0
2024-01-09,98.635245,99.247291,97.452805,98.346797,98.558607,464778.0
2024-01-10,97.741063,98.145835,96.910027,97.473144,97.391267,449541.0
2024-01-11,99.077653,100.026488,98.280150,98.678422,98.841155,624712.0
2024-01-12,99.702681,100.093458,99.313351,99.761772,99.694096,524688.0
2024-01-13,99.737030,100.226938,98.940219,99.991009,99.959868,104350.0
2024-01-14,101.445868,102.041776,100.592613,101.493698,101.719739,266116.0
2024-01-15,101.192309,103.198610,100.908087,102.204710,101.433875,182539.0
2024-01-16,100.455291,102.236901,100.202044,101.323559,100.858173,601169.0
2024-01-17,101.122440,102.714946,100.446893,101.916060,101.889614,76360.0
2024-01-18,100.317052,101.828035,100.000114,100.915401,100.430329,201803.0
2024-01-19,102.359405,103.274163,101.259810,102.119541,102.033911,498083.0
2024-01-20,101.666342,102.824717,101.218075,102.209630,101.988563,571098.0
2024-01-21,101.910897,102.590538,101.595800,102.137795,102.235443,427478.0
2024-01-22,102.250217,103.067826,100.533903,101.470680,101.863305,695539.0
2024-01-23,102.873971,103.817058,102.541545,103.087729,103.313090,739205.0
2024-01-24,103.494803,103.993729,102.624518,103.052294,103.487747,149077.0
2024-01-25,102.128130,102.963874,101.805239,102.688300,102.618670,764383.0
2024-01-26,102.292478,103.213172,102.000086,102.415740,102.492638,510784.0
2024-01-27,102.634498,103.614480,102.417579,103.204511,103.501418,527164.0
2024-01-28,103.589624,104.742495,103.345308,103.793044,103.640044,121321.0
2024-01-29,104.942508,105.335284,104.098610,104.438323,104.189535,516403.0
2024-01-30,104.068916,105.403515,103.826211,105.105308,104.988176,594286.0
2024-01-31,108.085940,108.950830,107.152370,107.825285,107.841188,485593.0
2024-01-32,107.630229,107.952856,106.743016,107.487587,107.585878,113369.0
2024-01-33,106.666406,107.366311,106.151502,107.022896,107.172039,442420.0
2024-01-34,105.328734,106.875875,104.874341,106.196369,105.361987,751954.0
2024-01-35,107.128822,108.028472,106.481923,107.085544,106.794271,592562.0
2024-01-36,108.272615,108.947459,107.372611,108.590311,108.031144,153055.0
2024-01-37,108.743180,109.191439,107.722669,108.603574,108.474843,769953.0
2024-01-38,107.758498,108.580421,107.510606,107.745386,107.861851,769160.0
2024-01-39,107.867076,108.844537,106.560810,106.906009,107.517589,177046.0
2024-01-40,107.693107,108.437313,107.303711,107.836720,107.833982,650663.0
